trade_id,pair,is_short,close_profit,close_profit_abs,stake_amount,open_date,close_date,exit_reason,strategy,trade_date,close_price,ema200,ema200_block,ema200_direction,crisis_block
655,BTC/USDT:USDT,False,0.0038270016734625,4.35052915,1136.230225,2026-04-16 11:55:07.660476+00:00,2026-04-16 12:25:11.954000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,True,block_longs_below,False
656,ETH/USDT:USDT,False,-0.0091228763818998,-10.49387888,1149.70697,2026-04-16 12:05:07.046108+00:00,2026-04-16 12:40:08.140000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,True,block_longs_below,False
657,SOL/USDT:USDT,False,-0.010551125983219,-12.141417,1150.147325,2026-04-16 12:15:08.182295+00:00,2026-04-16 12:50:11.987000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,81.85,122.48026611664989,True,block_longs_below,False
658,SOL/USDT:USDT,False,-0.0226143625135953,-25.9439572,1146.6603,2026-04-16 13:15:07.636394+00:00,2026-04-16 13:50:12.408000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,81.85,122.48026611664989,True,block_longs_below,False
659,BTC/USDT:USDT,False,-0.0896266533812859,-102.399419,1141.939825,2026-04-16 13:20:07.967064+00:00,2026-04-16 13:55:13.368000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,True,block_longs_below,False
660,XRP/USDT:USDT,False,-0.0672577692661094,-77.15956864,1146.64832,2026-04-16 13:30:07.984348+00:00,2026-04-16 14:05:12.387000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,1.3259,1.854389993213925,True,block_longs_below,False
661,ETH/USDT:USDT,True,0.0030289552973401,3.45295845,1140.553575,2026-04-16 13:55:08.154147+00:00,2026-04-16 14:25:12.396000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,False,block_shorts_above,False
662,SOL/USDT:USDT,True,-0.0137002311531437,-15.63260685,1141.61775,2026-04-16 13:55:09.379162+00:00,2026-04-16 14:30:12.407000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,81.85,122.48026611664989,False,block_shorts_above,False
663,BNB/USDT:USDT,True,-0.0083442702763054,-9.47007135,1135.4868,2026-04-16 13:55:10.570480+00:00,2026-04-16 14:30:13.390000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,601.81,764.327327713103,False,block_shorts_above,False
664,BTC/USDT:USDT,True,-0.0140965034340937,-14.4599994,1026.2994,2026-04-16 13:55:14.900167+00:00,2026-04-16 14:30:17.416000+00:00,time_stop,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,False,block_shorts_above,False
665,ETH/USDT:USDT,False,0.0253304222951352,27.84485776,1098.71608,2026-04-16 14:55:07.645009+00:00,2026-04-16 15:25:11.972000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,2109.35,2704.0481781622575,True,block_longs_below,False
666,BTC/USDT:USDT,False,0.0103479732242429,11.34444035,1095.748,2026-04-16 15:10:07.907268+00:00,2026-04-16 15:40:12.275000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,68997.9,84241.10416269858,True,block_longs_below,False
667,SOL/USDT:USDT,False,0.0010824453700103,1.18999,1098.804,2026-04-16 15:25:08.157988+00:00,2026-04-16 15:56:02.003000+00:00,roi,LiqCascadeStrategy_V05,2026-04-05 00:00:00+00:00,81.85,122.48026611664989,True,block_longs_below,False
